เลขทะเบียน,ประกอบธุรกิจ,หมวดธุรกิจ,สถานะ,วันที่จดทะเบียน,ทุนจดทะเบียน,Website,ก่อตั้งโดย,ที่ตั้ง,ชื่อบริษัทภาษาอังกฤษ,ชื่อบริษัทภาษาไทย,ข้อมูลสำหรับการติดต่อ,ที่มา,สมัครงาน / ดูตำแหน่งงานว่าง,วันที่ร้าง,หลักทรัพย์,วันที่เลิก,เบอร์โทร,ข้อมูลสำหรับติดต่อ,เสร็จชำระบัญชี,เว็บไซต์,พิพากษาล้มละลาย,ศาลสั่งพิทักษ์ทรัพย์,ทะเบียน,จดทะเบียน,ธุรกิจ
'0125563001627,ประกอบกิจการทำนา ทำสวน ทำไร่,การปลูกข้าวจ้าว,ยังดำเนินกิจการอยู่,16/1/2563,50000000,,"กรรมการ: นายศุภชัย บุริสตระกูล, นางสาวนิดา ตั้งวงศ์ศิริ",91/86 หมู่บ้าน พาทิโอ หมู่ที่ 5 ตำบลบ้านใหม่ อำเภอปากเกร็ด จ.นนทบุรี 11120,"BLHY14 CO., LTD.",บริษัท บีแอลเอชวายสิบสี่ จำกัด,False,https://www.dataforthai.com/company/0125563001627/,,,,,,,,,,,,,
'0105563099589,กิจกรรมสนับสนุนการผลิตพืชผล,กิจกรรมสนับสนุนการผลิตพืชผลซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,8/7/2563,260000000,,"กรรมการ: นายวิวัฒน์ ทีฆคีรีกุล, นายชยุตม์ อุดมเจริญชัยกิจ",81/1 ซอยเพชรเกษม 54 แยก 3 แขวงบางด้วน เขตภาษีเจริญ กรุงเทพมหานคร 10160,"PA DONPHUTSA CO., LTD.",บริษัท ป่า ดอนพุทรา จำกัด,False,https://www.dataforthai.com/company/0105563099589/,,,,,'0811327219,,,,,,,,
'0115556002761,ทำนา ทำสวน ทำไร่ เลี้ยงสัตว์และกิจการคอกปศุสัตว์เพาะปลูกและค้าพืชผลทางการเกษตรทุกชนิด,การปลูกข้าวจ้าว,ยังดำเนินกิจการอยู่,1/2/2556,100000000,,"กรรมการ: นายเลิศชัย วงค์ชัยสิทธิ์, นายชนะ จึงโสภณวิทวัส, นางกมลภัทร วงค์ชัยสิทธิ์, นางสาวอริสา จึงโสภณวิทวัส",168 หมู่ที่ 9 ซอยแบริ่ง 31 ถนนสุขุมวิท ตำบลสำโรงเหนือ อำเภอเมืองสมุทรปราการ จ.สมุทรปราการ 10270,PREMSOOK FARM COMPANY LIMITED,บริษัท เปรมสุข ฟาร์ม จำกัด,False,https://www.dataforthai.com/company/0115556002761/,,,,,,,,,,,,,
'0115559022631,การปลูกข้าวเจ้า,การปลูกข้าวจ้าว,ยังดำเนินกิจการอยู่,19/10/2559,51000000,,"กรรมการ: นายสิงห์น้อย บุณยรักษ์, นางสาวซินเทียสุนทรี บุณยรักษ์, นางสาวซิลเวียสุธีรา บุณยรักษ์, นายอรรณพ ต้นน้ำ",95/66 หมู่บ้านกรีนวัลเลย์ หมู่ที่ 3 ถนนบางนา-ตราด กม.15 ตำบลบางโฉลง อำเภอบางพลี จ.สมุทรปราการ 10540,EXCEL LIVING LAKSI COMPANY LIMITED,บริษัท เอ็กเซล ลิฟวิ่ง หลักสี่ จำกัด,False,https://www.dataforthai.com/company/0115559022631/,,,,,,,,,,,,,
'0745563006119,การปลูกข้าวจ้าว การเกษตร ทำนาข้าวเพื่อขาย,การปลูกข้าวจ้าว,ยังดำเนินกิจการอยู่,4/8/2563,50000000,,กรรมการ: นายเฉลิมเกียรติ แซ่เฮ้ง,99/192 หมู่ที่ 6 ตำบลพันท้ายนรสิงห์ อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,"HNT 2021 CO., LTD.",บริษัท เอชเอ็นที 2021 จำกัด,False,https://www.dataforthai.com/company/0745563006119/,,,,,,,,,,,,,
'0125544007330,สวนเกษตร และ รีสอร์ท,การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,21/8/2544,300000000,,"กรรมการ: นายวินัย วีระภุชงค์, นายสุภชัย วีระภุชงค์, นางสาวทิพย์วรรณ วีระภุชงค์, นายวโรดม วีระภุชงค์, นางสาววราภรณ์ วีระภุชงค์",14 ซอยงามวงศ์วาน 8 ถนนงามวงศ์วาน ตำบลบางเขน อำเภอเมืองนนทบุรี จ.นนทบุรี 11000,"CHALET & VALEY CO., LTD.",บริษัท ชาเล่ย์ แอนด์ วัลเล่ย์ จำกัด,False,https://www.dataforthai.com/company/0125544007330/,,,,,,,,,,,,,
'0105561050981,,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,ยังดำเนินกิจการอยู่,20/3/2561,39900000,https://www.facebook.com/naateesaeng/,"กรรมการ: นายณัฐพงษ์ ศรีสุโข, นายอดิศักดิ์ ศรีสุโข, นางชฎาภรณ์ ศรีสุโข",2 ซอยพรีเมียร์ 1 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,NAATEE SAENG COMPANY LIMITED,บริษัท นาทีแสง จำกัด,False,https://www.dataforthai.com/company/0105561050981/,ดูตำแหน่งงานจาก JOBBKK,,,,,,,,,,,,
'0107537001501,ผลิตรองเท้าและกระเป๋า,การผลิตรองเท้าอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,12/5/2537,275400000,http://www.paf-group.com/,"กรรมการ: นายบุญเกียรติ โชควัฒนา, นายสมมาต ขุนเศษฐ, นายวิชิต ประยูรวิวัฒน์, นายสุจริต ปัจฉิมนันท์, พลตำรวจตรีภาณุรัตน์ มีเพียร, นายศิริพงษ์ สมบัติศิริ, นายสุรัตน์ วงศ์รัตนภัสสร, นายธนกร ตรีพลอักษร, นายธำรง ธิติประเสริฐ, นางสาวสุนทรา ฐิติวร",620/5 หมู่ที่ 11 ตำบลหนองขาม อำเภอศรีราชา จ.ชลบุรี,PAN ASIA FOOTWEAR PUBLIC COMPANY LIMITED,บริษัท แพนเอเซียฟุตแวร์ จำกัด (มหาชน),False,https://www.dataforthai.com/company/0107537001501/,ดูตำแหน่งงานจาก JOBTHAI,,PAF,,'0384800201,,,,,,,,
'0105547140685,การทำฟาร์มผักปลอดสารพิษ,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,ยังดำเนินกิจการอยู่,14/10/2547,290000000,,"กรรมการ: นายกฤษณะ กฤตมโนรถ, นางตวงพร เลาหบุตร, นายกฤษณ์ กฤตมโนรถ, นายชัยวัฒน์ เจริญรุ่งโรจน์คุณ",8/39 อาคารเคเค ซิตี้ หมู่ที่ 9 ถนนบางบัวทอง-สุพรรณบุรี ตำบลละหาร อำเภอบางบัวทอง จ.นนทบุรี 11110,"NOTHING IS IMPOSSIBLE CO.,LTD.",บริษัท ไม่มีอะไรที่เป็นไปไม่ได้ จำกัด,False,https://www.dataforthai.com/company/0105547140685/,,,,,'022073093,,,,,,,,
'0105535054967,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองที่ไม่ใช่ เพื่อเป็นที่พักอาศัย,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,ยังดำเนินกิจการอยู่,26/3/2535,30000000,,"กรรมการ: นายชินยะ วงษ์เจริญสิน, นายธีรวัจน์ วงษ์เจริญสิน, นายกิติชัย วงษ์เจริญสิน, นายมานิต วงษ์เจริญสิน",133/21-37 หมู่ที่ 7 ถนนสุขุมวิท ตำบลบางปูใหม่ อำเภอเมืองสมุทรปราการ จ.สมุทรปราการ 10280,"SANGBURAPHA PLANTATION CO., LTD.",บริษัท แสงบูรพา แพลนเทชั่น จำกัด,False,https://www.dataforthai.com/company/0105535054967/,,,,,,,,,,,,,
'0115562027398,ทำการเกษตร,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,ยังดำเนินกิจการอยู่,17/10/2562,35000000,,กรรมการ: นายวีรวิน ขอไพบูลย์,66/62 หมู่ที่ 3 ตำบลบ้านฉาง อำเภอเมืองปทุมธานี จ.ปทุมธานี 12000,"INDEPENDENT PROPERTY CO., LTD.",บริษัท อินดิเพนเดนท์ พร็อพเพอร์ตี้ จำกัด,False,https://www.dataforthai.com/company/0115562027398/,,,,,,,,,,,,,
'0115563024805,,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,ยังดำเนินกิจการอยู่,23/11/2563,150000000,,"กรรมการ: นายวิจิตร รัตนศิริวิไล, นายพรวิทย์ รัตนศิริวิไล",899 หมู่ที่ 2 ตำบลท้ายบ้านใหม่ อำเภอเมืองสมุทรปราการ จ.สมุทรปราการ 10280,API BIOSOLUTIONS CORPORATION LIMITED,บริษัท เอพีไอ ไบโอโซลูชั่น จำกัด,False,https://www.dataforthai.com/company/0115563024805/,,,,,,,,,,,,,
'0115560024251,ประกอบกิจการลงทุนทั่วไป,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,ยังดำเนินกิจการอยู่,10/10/2560,160000000,,"กรรมการ: นายภาณุทัต ลิมธงชัย, นางสาวพรรษชล ลิมธงชัย, นางพรทิพย์ ลิมธงชัย",40/1 ห้องดี หมู่ที่ 12 ซอยหลวงแพ่ง 8 ถนนหลวงแพ่ง ตำบลศีรษะจรเข้น้อย อำเภอบางเสาธง จ.สมุทรปราการ 10570,LTC SAPPHIRE COMPANY LIMITED,บริษัท แอลทีซี แซฟไฟร์ จำกัด,False,https://www.dataforthai.com/company/0115560024251/,,,,,,,,,,,,,
'0115565007932,ประกอบกิจการเพาะเลี้ยงกุ้งเพื่อการเกษตร,การเพาะเลี้ยงกุ้งทะเล,ยังดำเนินกิจการอยู่,11/3/2565,40000000,,"กรรมการ: นางจิราพร แซ่เฮียะ, นายนุกูล แซ่เฮียะ, นางสมธิดา แซ่เฮียะ",61/1 หมู่ที่ 6 ตำบลราชาเทวะ อำเภอบางพลี จ.สมุทรปราการ 10540,"JIRAKUL KARNKASET CO., LTD.",บริษัท จิรากูล การเกษตร จำกัด,False,https://www.dataforthai.com/company/0115565007932/,,,,,,,,,,,,,
'0405563002850,ให้เช่าที่ดิน,การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็น ของตนเองหรือเช่าจากผู้อื่นเพื่อเป็นที่พักอาศัย,ยังดำเนินกิจการอยู่,8/7/2563,55000000,,"กรรมการ: นายไชยยศ เสรีโยธิน, นายศิวกร เสรีโยธิน, นายณัฐชนน เสรีโยธิน",545 หมู่ที่ 8 ถนนเหล่านาดี ตำบลเมืองเก่า อำเภอเมืองขอนแก่น จ.ขอนแก่น 40000,"BLUEHARVEST CO., LTD.",บริษัท บลูฮาร์เวสท์ จำกัด,False,https://www.dataforthai.com/company/0405563002850/,,,,,,,,,,,,,
'0505563002182,ประกอบกิจการปลูกพืชผักกินผล,การปลูกพืชผักกินผลรวมถึงแตงชนิดต่าง ๆ รวมถึงการเพาะเมล็ดพันธุ์ผัก,ยังดำเนินกิจการอยู่,7/2/2563,40000000,,"กรรมการ: นายทาดาชิ โมริโมโดะ, นายชิเกะฮิโระ โมริโมโตะ, นางริกะ โมริโมโตะ, นายฮิโระฟุมิ อะมะโนะ, นายวิชัย สามโกเศศ, นางจันทร์จรัส สามโกเศศ, นายวรนล สามโกเศศ, นางสาวอรญา นิ่มพร้าว",177 หมู่ที่ 2 ตำบลออนเหนือ อำเภอแม่ออน จ.เชียงใหม่ 50130,"YUCHAN HIGHLAND CO., LTD.",บริษัท ยูจัน ไฮแลนด์ จำกัด,False,https://www.dataforthai.com/company/0505563002182/,,,,,,,,,,,,,
'0105538066095,ให้เช่า ซื้อและขายอสังหาริมทรัพย์,การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็น ของตนเองหรือเช่าจากผู้อื่นเพื่อเป็นที่พักอาศัย,ยังดำเนินกิจการอยู่,2/6/2538,33000000,,"กรรมการ: นางสาวกุลวดี สุพรรณธะริดา, นายอนันต์ ณัฏฐสมบูรณ์, นางกรรณิการ์ ณัฏฐสมบูรณ์",27 ซอยปุณณวิถี 29/1 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,"VICHIT-RANGSRI CO., LTD.",บริษัท วิจิตรรังษี จำกัด,False,https://www.dataforthai.com/company/0105538066095/,,,,,,,,,,,,,
'0105565068443,การปลูกพืชผักกินผลรวมถึงแตงชนิดต่างๆ รวมถึงการเพาะเมล็ดพันธุ์ผัก,การปลูกพืชผักกินผลรวมถึงแตงชนิดต่าง ๆ รวมถึงการเพาะเมล็ดพันธุ์ผัก,ยังดำเนินกิจการอยู่,22/4/2565,1000000000,,กรรมการ: หม่อมหลวงธารทิพย์ สุทัศนีย์,16/21 ซอย อ่อนนุช 74/1 แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250,"SAMUI ORGANIC FARM CO., LTD.",บริษัท สมุย ออร์แกนิก ฟาร์ม จำกัด,False,https://www.dataforthai.com/company/0105565068443/,,,,,,,,,,,,,
'0105533100465,ให้เช่าพื้นที่,การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของ ตนเองหรือเช่าจากผู้อื่นที่ไม่ใช่เพื่อเป็นที่พักอาศัย,ยังดำเนินกิจการอยู่,22/8/2533,55000000,,"กรรมการ: นางอุษา มนต์เสรีนุสรณ์, นายประวิทย์ มนต์เสรีนุสรณ์",603 ถนนประชาอุทิศ แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,"USARINT LAND DEVELOPMENT CO., LTD",บริษัท อุษรินทร์ แลนด์ ดีเวลลอปเมนท์ จำกัด,False,https://www.dataforthai.com/company/0105533100465/,,,,,'029347407,,,,,,,,
'0105560070041,ปลูกมันสำปะหลังจำหน่าย,การปลูกมันสำปะหลัง,ยังดำเนินกิจการอยู่,27/4/2560,31000000,,"กรรมการ: นางภัธธา ศรีติสาร, นายภาณุพงศ์ ยินดีชีพ",89 หมู่ที่ 5 ตำบลครึ่ง อำเภอเชียงของ จ.เชียงราย 57140,789 SMART FARMERS COMPANY LIMITED,บริษัท 789 สมาร์ท ฟาร์เมอร์ส จำกัด,False,https://www.dataforthai.com/company/0105560070041/,,,,,,,,,,,,,
'0105549067454,ปลูกมันสำปะหลัง,การปลูกมันสำปะหลัง,ยังดำเนินกิจการอยู่,1/6/2549,150000000,,กรรมการ: นางสาวทองทิพย์ ทรัพย์รื่นรวย,888 อาคารไอทาวเวอร์ ชั้น 30 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,CASSAVA LAND COMPANY LIMITED,บริษัท คัสสาวา แลนด์ จำกัด,False,https://www.dataforthai.com/company/0105549067454/,,,,,,,,,,,,,
'0105538078905,,การปลูกมันสำปะหลัง,ยังดำเนินกิจการอยู่,4/7/2538,380000000,www.eternalenergy.co.th,"กรรมการ: นางสาวขวัญศิรินทร์ โรจนพฤกษ์, นายสุรชัย สุขศรีวงศ์",888 อาคารไอทาวเวอร์ ชั้นที่ 8 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,CELLULARA VISION COMPANY LIMITED,บริษัท เจริญพรพลังงาน จำกัด,False,https://www.dataforthai.com/company/0105538078905/,,,,,'025548000,,,,,,,,
'0135552009575,กสิกรรม ปลูกมันและข้าวโพด,การปลูกมันสำปะหลัง,ยังดำเนินกิจการอยู่,9/10/2552,36000000,,"กรรมการ: นายโฉลก สัมพันธารักษ์, นายพลังเทพ ประพรรดิจักกิจ, นางทิตยาวดี สัมพันธารักษ์, นายวิวรรธน์ กาญจนนันทิวัฒน์, นายภาคย์ เหล่าสุวรรณวัฒน์",19 หมู่ที่ 1 ตำบลลาดสวาย อำเภอลำลูกกา จ.ปทุมธานี 12150,CDC PIMARN COMPANY LIMITED,บริษัท ซีดีซี พิมาน จำกัด,False,https://www.dataforthai.com/company/0135552009575/,,,,,,,,,,,,,
'0115547008299,ปลูกพืชการเกษตรมันสำปะหลัง,การปลูกมันสำปะหลัง,ยังดำเนินกิจการอยู่,4/8/2547,540000000,www.eternalenergy.co.th,"กรรมการ: นางสาวขวัญศิรินทร์ โรจนพฤกษ์, นายสุรชัย สุขศรีวงศ์",888 อาคารไอทาวเวอร์ ชั้นที่ 8 แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,BOON ANEK COMPANY LIMITED,บริษัท บุญเอนก จำกัด,False,https://www.dataforthai.com/company/0115547008299/,,,,,'025548000,,,,,,,,
'0105534032102,,การปลูกมันสำปะหลัง,ยังดำเนินกิจการอยู่,4/4/2534,60000000,,"กรรมการ: นายสรดิษ วิญญรัตน์, นางวรจันทร์ วิญญรัตน์, นายชยุส ยังพิชิต, คุณหญิงชดช้อย โสภณพนิช",23 อาคารสรชัย ซอยสุขุมวิท 63 (เอกมัย) ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,PH.D.CHIANGRAI COMPANY LIMITED,บริษัท พีเอช.ดี.เชียงราย จำกัด,False,https://www.dataforthai.com/company/0105534032102/,,,,,'027142300,,,,,,,,
'0105551089281,ประกอบธุรกิจปลูกและจำหน่ายมันสำปะหลัง,การปลูกมันสำปะหลัง,ยังดำเนินกิจการอยู่,8/8/2551,70000000,,"กรรมการ: นางสาวธนิกา จินตนะพันธ์, นายโจฮาน นอร์ ไซมิ บิน โจฮาริ, นายชา ฟุย มิน",160/833 อาคารไอทีเอฟ-สีลมพาเลส ชั้น 32 ถนนสีลม แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500,"IMPRESS FARMING CO.,LTD.",บริษัท อิมเพรส ฟาร์มมิ่ง จำกัด,False,https://www.dataforthai.com/company/0105551089281/,,,,,,,,,,,,,
'0505549002294,,การเพาะเห็ด,ยังดำเนินกิจการอยู่,20/4/2549,41000000,,"กรรมการ: นายชิช เชียง หลิว, นายเจ๋อ เหยิน เฉิน",29 หมู่ที่ 14 ถนนเชียงใหม่-พร้าว ตำบลแม่แฝกใหม่ อำเภอสันทราย จ.เชียงใหม่ 50290,CHIANGMAI MUSHROOM FARM COMPANY LIMITED,บริษัท เชียงใหม่ฟาร์มเห็ด จำกัด,False,https://www.dataforthai.com/company/0505549002294/,,,,,'0538489178,,,,,,,,
'0105545103308,ผลิตและจำหน่ายเห็ดออรินจิ ฟาร์มเห็ด,การเพาะเห็ด,ยังดำเนินกิจการอยู่,1/10/2545,30000000,,กรรมการ: นายปรีชา กิตติชูโชติ,150/2 หมู่ที่ 3 หมู่บ้านหน้าวัดเขามัน ตำบลทับกวาง อำเภอแก่งคอย จ.สระบุรี 18260,"PIYAPORN INTERAGROLOGY CO., LTD.",บริษัท ปิยะพรอินเตอร์เอโกรโลยี จำกัด,False,https://www.dataforthai.com/company/0105545103308/,,,,,'036273065,,,,,,,,
'0105552104942,,การเพาะเห็ด,ยังดำเนินกิจการอยู่,30/9/2552,800000000,https://www.promushroom.com/th,"กรรมการ: นายสงคราม ชีวประวัติดำรงค์, นางพัชราพร เลาลิขิตนันท์, นายเติมศักดิ์ ชีวประวัติดำรงค์",470 ถนนบางขุนเทียนชายทะเล แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,"PRO MUSHROOM CO.,LTD.",บริษัท โปร เห็ด จำกัด,False,https://www.dataforthai.com/company/0105552104942/,,,,,'034852555,,,,,,,,
'0215555005049,ผลิตจำหน่ายเห็ด,การเพาะเห็ด,ยังดำเนินกิจการอยู่,24/8/2555,52000000,https://www.facebook.com/ryvvmushroom,"กรรมการ: นางสาวนีรนุช ผุดผ่อง, นายเซนหลิน หลี่",91 หมู่ที่ 5 ตำบลเนินฆ้อ อำเภอแกลง จ.ระยอง 21110,RAYONG MUSHROOM FARM & VIVI BIOTECH COMPANY LIMITED,บริษัท ฟาร์มเห็ดระยองแอนด์วีวีไบโอเทค จำกัด,False,https://www.dataforthai.com/company/0215555005049/,,,,,'038037657,,,,,,,,
